"Sr. No.","Page","College Code","College Name","Course Code","Course Name","Status","Level","Stage","Caste/Category","Cut‑off Rank","Cut‑off Percentile"
"1","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","GOPENS","33717","88.60373"
"2","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","GSCS","61041","78.56133"
"3","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","GNT3S","67451","76.13585"
"4","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","GSEBCS","83123","69.76044"
"5","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","LSCS","50493","82.70868"
"6","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","LVJS","52977","81.70983"
"7","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I","EWS","115797","53.74245"
"8","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","I-NON PWD","PWDOPENS","33345","88.6997"
"9","1","1002","Government College of Engineering, Amravati","100219110","Civil Engineering","Government Autonomous","State Level","VII","ORPHAN","33876","88.55519"
"10","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","GSCS","11323","96.24374"
"11","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","GSEBCS","17059","94.33318"
"12","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","LOPENS","7985","97.34618"
"13","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","LSEBCS","21791","92.7108"
"14","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","TFWS","9964","96.72296"
"15","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","PWDROBC S","96341","63.26878"
"16","1","1002","Government College of Engineering, Amravati","100224210","Computer Science and Engineering","Government Autonomous","State Level","I","EWS","15308","94.8965"
"17","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","GOBCS","8917","97.04979"
"18","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","GSEBCS","24057","91.94929"
"19","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","LOPENS","11969","96.03923"
"20","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","LSEBCS","24708","91.78499"
"21","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","TFWS","13259","95.63206"
"22","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","I","EWS","19241","93.6359"
"23","1","1002","Government College of Engineering, Amravati","100224610","Information Technology","Government Autonomous","State Level","VII","ORPHAN","11764","96.13531"
"24","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","GOPENS","24135","91.93931"
"25","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","GNT2S","50339","82.70868"
"26","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","LNT1S","44865","84.57312"
"27","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","TFWS","12755","95.79788"
"28","1","1002","Government College of Engineering, Amravati","100229310","Electrical Engineering","Government Autonomous","State Level","I","EWS","75966","72.77509"
"29","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","GOPENS","18608","93.84926"
"30","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","GSTS","47245","83.74406"
"31","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","GOBCS","19635","93.45576"
"32","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","GSEBCS","30760","89.59179"
"33","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","LOPENS","14790","95.05472"
"34","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","LVJS","66354","76.54046"
"35","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","LSEBCS","44066","84.84823"
"36","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","TFWS","21632","92.77044"
"37","2","1002","Government College of Engineering, Amravati","100237210","Electronics and Telecommunication Engg","Government Autonomous","State Level","I","EWS","28139","90.5124"
"38","2","1002","Government College of Engineering, Amravati","100246610","Instrumentation Engineering","Government Autonomous","State Level","I","GOPENS","34174","88.50135"
"39","2","1002","Government College of Engineering, Amravati","100246610","Instrumentation Engineering","Government Autonomous","State Level","I","LOBCS","32099","89.19456"
"40","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","GOPENS","31514","89.32234"
"41","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","GSCS","62783","77.84452"
"42","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","GVJS","67622","76.12688"
"43","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","LOPENS","38944","86.7802"
"44","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","LSCS","64534","77.20746"
"45","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","LOBCS","48807","83.14695"
"46","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","TFWS","52116","81.93418"
"47","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","I","EWS","101168","60.62374"
"48","2","1002","Government College of Engineering, Amravati","100261210","Mechanical Engineering","Government Autonomous","State Level","II","LSTS","139021","38.86599"
"49","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOPENH","58918","80.95128"
"50","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GSCH","101902","63.26878"
"51","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOBCH","78502","73.62627"
"52","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","LOBCH","60193","80.527"
"53","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I-NON PWD","PWDOPENH","68640","77.56705"
"54","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","VII","LSEBCH","87385","70.19912"
"55","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Other Than Home University Candidates","I","GSTH","87376","70.20918"
"56","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSCO","38214","87.98727"
"57","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LOPENO","19750","93.88204"
"58","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GVJO","153310","32.09794"
"59","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","State Level","I","EWS","115223","57.19599"
"60","3","1005","Sant Gadge Baba Amravati University,Amravati","100550310","Food Technology","University Department","State Level","I-NON DEFENCE","DEFOPENS","20748","93.58063"
"61","4","1005","Sant Gadge Baba Amravati University,Amravati","100551710","Oil and Paints Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOPENH","108245","57.25376"
"62","4","1005","Sant Gadge Baba Amravati University,Amravati","100551710","Oil and Paints Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOBCH","149613","30.95419"
"63","4","1005","Sant Gadge Baba Amravati University,Amravati","100551710","Oil and Paints Technology","University Department","Home University Seats Allotted to Home University Candidates","I","LOPENH","132176","43.52989"
"64","4","1005","Sant Gadge Baba Amravati University,Amravati","100551710","Oil and Paints Technology","University Department","Home University Seats Allotted to Home University Candidates","I","LSCH","132982","42.87733"
"65","4","1005","Sant Gadge Baba Amravati University,Amravati","100552410","Paper and Pulp Technology","University Department","Home University Seats Allotted to Home University Candidates","I","GOPENH","159191","22.50202"
"66","4","1005","Sant Gadge Baba Amravati University,Amravati","100552410","Paper and Pulp Technology","University Department","Home University Seats Allotted to Other Than Home University Candidates","I","GOBCH","115971","53.74245"
"67","4","1005","Sant Gadge Baba Amravati University,Amravati","100552410","Paper and Pulp Technology","University Department","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LOPENO","163269","19.11575"
"68","5","1005","Sant Gadge Baba Amravati University,Amravati","100552710","Petro Chemical Engineering","University Department","Home University Seats Allotted to Home University Candidates","I","GOPENH","109950","56.95884"
"69","5","1005","Sant Gadge Baba Amravati University,Amravati","100552710","Petro Chemical Engineering","University Department","Home University Seats Allotted to Home University Candidates","I","GOBCH","144222","34.86265"
"70","5","1005","Sant Gadge Baba Amravati University,Amravati","100552710","Petro Chemical Engineering","University Department","Home University Seats Allotted to Home University Candidates","I-NON PWD","PWDOPENH","140651","37.68818"
"71","5","1005","Sant Gadge Baba Amravati University,Amravati","100552710","Petro Chemical Engineering","University Department","Home University Seats Allotted to Home University Candidates","VII","GSTH","133801","42.22164"
"72","5","1005","Sant Gadge Baba Amravati University,Amravati","100552710","Petro Chemical Engineering","University Department","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOPENO","101298","60.62374"
"73","5","1005","Sant Gadge Baba Amravati University,Amravati","100552710","Petro Chemical Engineering","University Department","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOBCO","112108","55.23188"
"74","5","1005","Sant Gadge Baba Amravati University,Amravati","100552710","Petro Chemical Engineering","University Department","State Level","I-NON DEFENCE","DEFOPENS","97098","63.07596"
"75","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOPENH","110025","56.95884"
"76","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GSCH","125827","47.45769"
"77","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOBCH","111930","55.23188"
"78","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOPENH","76748","72.32428"
"79","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LNT1H","151306","29.30718"
"80","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I-NON PWD","PWDOPENH","105131","59.88927"
"81","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","VII","GSEBCH","112880","55.07339"
"82","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","VII","LSEBCH","114474","54.08598"
"83","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOPENO","79206","71.39888"
"84","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSCO","92376","65.44063"
"85","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GNT2O","154314","27.40489"
"86","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOBCO","88311","67.50338"
"87","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LOPENO","47551","83.6394"
"88","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","VII","GSEBCO","99471","62.25348"
"89","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","I","EWS","176930","3.89399"
"90","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","I-NON DEFENCE","DEFOBCS","95351","63.53704"
"91","6","1012","Government College of Engineering,Yavatmal","101219110","Civil Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","VII","ORPHAN","96430","63.23401"
"92","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOPENH","46127","84.21566"
"93","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GSCH","72403","74.1163"
"94","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GSTH","127483","46.36579"
"95","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOBCH","56190","80.53589"
"96","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOPENH","41333","85.87728"
"97","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LSCH","61181","78.56133"
"98","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LNT3H","118461","52.02766"
"99","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOBCH","44412","84.79734"
"100","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Other Than Home University Candidates","I","GSEBCH","63148","77.82507"
"101","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOPENO","19120","93.67111"
"102","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSCO","51812","82.14939"
"103","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSTO","76610","72.50417"
"104","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOBCO","30547","89.7107"
"105","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LOPENO","40981","86.07556"
"106","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LSCO","58912","79.48953"
"107","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LNT2O","73513","73.77435"
"108","7","1012","Government College of Engineering,Yavatmal","101224510","Computer Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","I","EWS","69351","75.34104"
"109","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOPENH","82805","69.76396"
"110","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GNT1H","120405","50.86181"
"111","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GNT2H","107905","57.33107"
"112","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GNT3H","163989","18.55747"
"113","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOBCH","90376","66.18552"
"114","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOPENH","98275","62.83517"
"115","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LSCH","106381","58.1588"
"116","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOBCH","99417","62.72164"
"117","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","VII","LSEBCH","88948","67.04584"
"118","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Other Than Home University Candidates","I","GSEBCH","139919","38.53922"
"119","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOPENO","61206","78.56133"
"120","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSCO","76494","72.50417"
"121","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GVJO","92787","65.36271"
"122","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","I","TFWS","72739","73.88933"
"123","8","1012","Government College of Engineering,Yavatmal","101229310","Electrical Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","VII","ORPHAN","67358","76.13585"
"124","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOPENH","68681","75.62126"
"125","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GNT1H","78959","71.40382"
"126","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOBCH","76611","72.50417"
"127","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOPENH","72666","73.88933"
"128","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOBCH","88512","67.50338"
"129","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","VII","GSTH","77203","72.14678"
"130","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Other Than Home University Candidates","I","GSEBCH","74112","73.44689"
"131","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Other Than Home University Candidates","II","LSEBCH","90190","66.18552"
"132","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOPENO","49988","82.70993"
"133","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSCO","64393","77.20746"
"134","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOBCO","58872","79.52357"
"135","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LOPENO","45392","84.49414"
"136","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LNT1O","155900","25.64827"
"137","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LOBCO","52078","81.98015"
"138","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","VII","LSTO","54609","81.04852"
"139","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","State Level","I","TFWS","60809","78.91202"
"140","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","State Level","I","EWS","132772","43.1231"
"141","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","State Level","I-NON DEFENCE","DEFOPENS","44156","84.83075"
"142","9","1012","Government College of Engineering,Yavatmal","101237210","Electronics and Telecommunication Engg","Government Home University : Sant Gadge Baba Amravati University","State Level","VII","ORPHAN","59685","79.1872"
"143","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOPENH","109010","57.19599"
"144","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GSCH","130589","44.4779"
"145","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GVJH","134246","42.22009"
"146","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GNT3H","155891","25.64827"
"147","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","GOBCH","116789","52.99352"
"148","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOPENH","86644","68.07179"
"149","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I","LOBCH","125058","47.98428"
"150","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Home University Candidates","I-NON PWD","PWDOBCH","114369","54.08598"
"151","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Home University Seats Allotted to Other Than Home University Candidates","I","GSEBCH","70046","75.19728"
"152","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOPENO","92373","65.44063"
"153","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSCO","109477","57.15433"
"154","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GSTO","101849","60.54671"
"155","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GVJO","153158","27.99695"
"156","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","GOBCO","103098","60.29215"
"157","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","I","LOPENO","90881","65.93663"
"158","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","VII","GSTO","106387","58.1588"
"159","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","Other Than Home University Seats Allotted to Other Than Home University Candidates","VII","GSEBCO","98583","62.79581"
"160","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","I","TFWS","97424","63.07017"
"161","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","I","EWS","161074","21.35311"
"162","10","1012","Government College of Engineering,Yavatmal","101261210","Mechanical Engineering","Government Home University : Sant Gadge Baba Amravati University","State Level","I-NON DEFENCE","DEFOPENS","94304","64.65002"
